"","Columns","IG"
"Alloiococcus","Alloiococcus",0.133315937716431
"Kushneria","Kushneria",0.0935081507882575
"Halobacillus","Halobacillus",0.0876302210494473
"Pontibacter","Pontibacter",0.0856556092598862
"Sorangium","Sorangium",0.0808490582650077
"Ornithinimicrobium","Ornithinimicrobium",0.0785149080413622
"Omegapapillomavirus","Omegapapillomavirus",0.0766947394516089
"Gloeobacter","Gloeobacter",0.0753604847585367
"Rubellimicrobium","Rubellimicrobium",0.0747160782296764
"Jeotgalicoccus","Jeotgalicoccus",0.0718154650847453
